"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.2","37","13","37","13","8.16","0.00","8.16","111.2","103.0","+8.2","98.6",".236",".461",".577",NA,".547","14.0","23.3",".179",NA,".493","13.6","79.0",".192",NA,"Chase Center","505,792","18,064"
"3","2","Phoenix Suns","27.7","40","9","36","13","7.90","-0.14","7.76","113.3","105.4","+7.9","99.4",".223",".354",".574",NA,".542","11.9","22.9",".177",NA,".502","13.2","76.8",".176",NA,"Phoenix Suns Arena","407,106","15,658"
"4","3","Utah Jazz","29.7","30","21","34","17","5.73","-0.27","5.45","115.8","110.0","+5.8","98.0",".268",".469",".591",NA,".557","13.0","24.1",".209",NA,".518","10.8","78.1",".155",NA,"Vivint Smart Home Arena","457,650","18,306"
"5","4","Cleveland Cavaliers","24.7","30","20","33","17","4.64","0.16","4.80","110.9","106.1","+4.8","96.5",".244",".399",".568",NA,".537","13.7","24.0",".184",NA,".507","12.6","76.4",".154",NA,"Quicken Loans Arena","431,793","17,991"
"6","5","Miami Heat","28.2","32","18","32","18","4.54","-0.50","4.04","113.0","108.3","+4.7","95.6",".238",".422",".576",NA,".539","13.5","25.4",".193",NA,".524","14.2","78.4",".202",NA,"FTX Arena","470,904","19,621"
"7","6","Memphis Grizzlies","24.0","35","17","32","20","3.77","0.33","4.10","112.2","108.4","+3.8","99.4",".236",".350",".546",NA,".516","11.6","29.0",".174",NA,".524","13.7","78.1",".187",NA,"FedEx Forum","424,377","15,156"
"8","7","Boston Celtics","26.0","26","25","30","21","2.90","-0.14","2.76","109.9","107.0","+2.9","96.4",".236",".414",".557",NA,".518","12.7","23.8",".194",NA,".506","12.5","77.9",".182",NA,"TD Garden","478,900","18,419"
"9","8","Milwaukee Bucks","28.4","31","21","31","21","2.92","-0.74","2.18","112.2","109.3","+2.9","99.2",".245",".442",".568",NA,".534","12.4","23.1",".191",NA,".521","12.1","77.7",".164",NA,"Fiserv Forum","469,386","17,385"
"10","9","Dallas Mavericks","26.7","29","22","30","21","2.67","-0.08","2.58","110.1","107.3","+2.8","96.0",".238",".426",".557",NA,".524","11.6","21.0",".183",NA,".518","12.6","79.1",".177",NA,"American Airlines Center","489,336","19,573"
"11","10","Philadelphia 76ers","26.5","30","19","28","21","2.35","-0.75","1.60","111.4","109.0","+2.4","96.0",".258",".367",".569",NA,".528","11.7","19.6",".209",NA,".516","12.4","76.3",".182",NA,"Wells Fargo Center","467,391","20,321"
"12","11","Denver Nuggets","27.6","28","21","28","21","2.14","0.00","2.14","112.0","109.8","+2.2","97.0",".216",".419",".575",NA,".545","12.9","21.1",".168",NA,".532","12.4","78.3",".177",NA,"Ball Arena","356,707","16,214"
"13","12","Brooklyn Nets","29.5","29","20","27","22","1.82","-0.50","1.32","112.3","110.4","+1.9","99.2",".240",".355",".572",NA,".534","12.7","23.2",".197",NA,".506","11.3","75.8",".192",NA,"Barclays Center","427,424","17,097"
"14","13","Chicago Bulls","26.2","31","18","27","22","1.82","-0.61","1.20","112.8","111.0","+1.8","98.4",".239",".348",".578",NA,".542","12.1","20.5",".194",NA,".531","12.6","78.1",".194",NA,"United Center","500,070","20,836"
"15","14","Minnesota Timberwolves","24.0","25","25","27","23","0.98","0.46","1.44","111.0","110.0","+1.0","99.9",".235",".454",".553",NA,".521","12.8","25.8",".179",NA,".530","14.8","74.8",".226",NA,"Target Center","372,244","15,510"
"16","15","Toronto Raptors","24.6","24","23","25","22","0.83","0.40","1.23","111.2","110.4","+0.8","95.8",".227",".387",".536",NA,".504","11.3","28.2",".171",NA,".533","14.8","74.7",".202",NA,"Scotiabank Arena","311,611","12,464"
"17","16","Atlanta Hawks","26.1","24","25","25","24","0.41","0.05","0.46","114.6","114.2","+0.4","97.5",".252",".383",".575",NA,".538","11.2","22.6",".202",NA,".538","11.1","77.7",".173",NA,"State Farm Arena","402,539","16,102"
