"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Milwaukee Bucks",67,240.7,41.4,89.1,0.464,14.2,39,0.366,27.1,50.2,0.541,17.6,22.7,0.775,10.4,36.5,46.9,23.6,7.6,4,13.5,18.3,114.6
"2",2,"Charlotte Hornets",68,242.9,42.3,92,0.46,13.8,38.5,0.359,28.5,53.5,0.533,16.1,21.9,0.736,11,34.1,45.1,27.3,8.7,4.8,13.4,20.1,114.6
"3",3,"Minnesota Timberwolves",68,241.5,41.4,91.3,0.453,14.7,41.7,0.352,26.7,49.6,0.538,17.2,22.4,0.769,11.5,33.1,44.6,25.6,8.8,5.9,14.5,21.9,114.6
"4",4,"Memphis Grizzlies",68,241.1,43.1,93.9,0.459,11,32.4,0.34,32.1,61.5,0.521,17,23.3,0.73,14.1,35.2,49.3,25.3,9.9,6.5,13.2,19.6,114.3
"5",5,"Utah Jazz",66,240.4,40.6,86.1,0.472,14.7,40.4,0.363,26,45.7,0.568,17.7,22.8,0.777,10.5,35.8,46.3,22.5,7.2,4.9,14.3,19,113.6
"6",6,"Phoenix Suns",67,240.4,43,89.5,0.481,11.5,31.8,0.363,31.5,57.7,0.546,16,20.1,0.796,9.7,35.8,45.5,27.1,8.6,4.4,13,19.3,113.6
"7",7,"San Antonio Spurs",67,241.9,43.6,93.1,0.468,11,31.4,0.35,32.6,61.7,0.528,14.4,19.5,0.74,11.1,34.3,45.3,28,7.7,5,12.7,18.2,112.6
"8",8,"Chicago Bulls",66,240.4,42.1,87,0.484,10.9,29.2,0.374,31.2,57.8,0.54,17.3,21.2,0.814,8.6,34.3,42.9,24.2,7.1,4.3,12.9,18.8,112.5
"9",9,"Atlanta Hawks",66,240.4,41.2,87.9,0.468,12.5,33.6,0.371,28.7,54.3,0.528,17.7,22,0.805,9.9,34.2,44.1,24.3,6.8,4.4,12,18.6,112.5
"10",10,"Brooklyn Nets",67,240.7,41.5,88.5,0.469,11.4,31.9,0.356,30.1,56.6,0.532,17,21.2,0.799,10.2,34,44.2,24.9,7,5.4,13.8,20.1,111.4
"11",11,"Golden State Warriors",67,240.7,40.6,86.7,0.469,14.5,39.9,0.363,26.2,46.8,0.559,15.5,20.3,0.761,9.7,35.6,45.3,27.3,9.3,4.7,15,20.7,111.2
"12",12,"Los Angeles Lakers",66,243.8,41.5,88.9,0.466,12,34.5,0.35,29.4,54.5,0.54,16.1,22.2,0.726,9.6,34.8,44.4,23.9,8,5.6,14.7,20.1,111.1
"13",13,"Denver Nuggets",67,241.1,41.1,86.4,0.475,12.8,36.5,0.35,28.3,49.9,0.567,16.2,20.4,0.791,9.1,35.2,44.2,27.3,7.3,3.7,14.4,19.6,111
"14",14,"Indiana Pacers",67,243,41,89.2,0.46,11.9,35.2,0.34,29.1,54,0.538,16.3,21.5,0.759,11.1,33.7,44.8,24.8,6.9,5.7,14.5,20.3,110.3
"15",15,"Sacramento Kings",68,241.1,40.6,88.6,0.458,11.4,33.4,0.342,29.2,55.2,0.529,17.4,22.8,0.763,10,33.5,43.5,23.5,7.2,4.5,14.2,19.3,110
"16",16,"Boston Celtics",68,242.9,40,87.5,0.457,12.6,36.5,0.344,27.4,51,0.538,17.2,21.1,0.814,10.8,35.5,46.3,24.1,7.2,6.1,13.8,18.6,109.7
"17",17,"Miami Heat",68,242.6,39.6,85.4,0.464,13.3,35.4,0.375,26.3,50,0.526,17,21.1,0.809,10.3,33.9,44.3,25.8,7.5,3.4,14.6,20.6,109.5
"18",18,"Houston Rockets",67,241.1,39,86.3,0.452,13.3,38.8,0.343,25.7,47.5,0.541,17.5,24.6,0.71,9.6,32.5,42.1,23.2,7.3,4.5,16.6,20.5,108.9
"19",19,"Toronto Raptors",66,241.9,40.2,91,0.442,12,34.1,0.353,28.2,56.9,0.496,16,21.2,0.755,13.1,31.8,44.9,21.8,9,4.6,12.7,19.8,108.5
"20",20,"Philadelphia 76ers",65,241.5,39.1,84.7,0.461,11.2,31.2,0.357,27.9,53.5,0.522,19,23.2,0.819,8.5,33.7,42.2,23.1,7.6,5.4,12.5,19.5,108.4
"21",21,"Washington Wizards",65,242.3,40.3,86.2,0.468,10.4,30.9,0.338,29.9,55.3,0.54,17,21.8,0.781,9.2,34.3,43.5,24.5,6.4,5,13.3,19.1,108.1
"22",22,"New Orleans Pelicans",67,241.1,39.7,87.6,0.453,10.8,32.7,0.33,28.9,55,0.526,17.7,22.5,0.786,11.6,33.8,45.3,25,7.8,4.1,14.3,20,107.9
"23",23,"Los Angeles Clippers",69,240.7,39.7,87.4,0.455,12.4,34,0.367,27.3,53.4,0.51,15,19.1,0.785,9.1,35.1,44.2,23.5,7.5,4.8,14.1,18.7,106.9
"24",24,"Portland Trail Blazers",65,240.4,38.4,86.8,0.442,13.2,37.6,0.35,25.2,49.2,0.512,17,22.2,0.763,10.1,33.4,43.5,22.6,7.6,4.5,14,20.5,106.9
"25",25,"Cleveland Cavaliers",66,240,39.5,84.5,0.467,11.6,33,0.35,27.9,51.5,0.541,16.4,21.6,0.762,10.3,34.4,44.7,25.2,7.1,4.3,14.8,17.2,106.9
"26",26,"Dallas Mavericks",67,241.1,39.1,85.8,0.456,12.7,37.1,0.343,26.3,48.6,0.542,15.9,20.8,0.763,9.5,33.7,43.2,23.3,7,4.1,12.5,19.9,106.8
"27",27,"New York Knicks",67,241.5,37.7,86.5,0.436,12.9,36.5,0.354,24.8,50,0.495,17.6,23.6,0.746,11.5,35,46.4,21.4,6.8,4.9,13.6,20.6,105.9
"28",28,"Orlando Magic",68,240.7,38.1,87.8,0.434,11.9,36.2,0.329,26.2,51.6,0.508,15.9,20.1,0.793,9,35,44,23.3,6.9,4.5,14.6,19.6,104
"29",29,"Detroit Pistons",67,241.5,37.8,88.7,0.425,11.1,34.3,0.322,26.7,54.4,0.491,17,21.9,0.778,11.2,31.9,43.1,22.9,7.6,4.8,14.4,21.9,103.6
"30",30,"Oklahoma City Thunder",66,241.5,37.9,89.5,0.423,11.7,37.3,0.314,26.2,52.2,0.501,14.9,19.5,0.762,10.3,35.5,45.8,21.7,7.8,4.6,13.7,18.3,102.3
"31",NA,"League Average",67,241.4,40.4,88.1,0.458,12.3,35.2,0.35,28.1,53,0.53,16.7,21.6,0.772,10.4,34.3,44.7,24.4,7.6,4.8,13.9,19.6,109.7
