"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Boston Celtics",73,242.7,37.9,88,0.431,11.8,35,0.338,26.1,53,0.493,16.1,20.6,0.784,10.5,33.7,44.2,21.5,7.4,4.6,13.8,19.2,103.8
"2",2,"Dallas Mavericks",72,241,38.9,85.2,0.456,10.9,32,0.34,28,53.2,0.526,15.5,20.5,0.759,9.6,34.6,44.2,23.4,6.9,3.8,13.4,20.1,104.2
"3",3,"Cleveland Cavaliers",72,240.7,39.3,87.4,0.45,11.6,33.2,0.349,27.8,54.2,0.512,14.4,18.7,0.769,10.6,32.4,43,23.8,8.7,4.6,13.7,20,104.6
"4",4,"Miami Heat",72,242.4,37.3,84,0.444,13,38.1,0.34,24.3,45.8,0.531,17.3,22.3,0.774,9.6,32.3,41.9,23.1,7.3,4.3,15.2,20.6,104.9
"5",5,"Golden State Warriors",71,240.7,37.9,86.5,0.438,12.3,36.2,0.339,25.6,50.3,0.508,17.1,22.7,0.755,9.7,33,42.7,22.9,7.9,4,14.7,17.9,105.2
"6",6,"Phoenix Suns",72,240.7,39.1,88.6,0.442,11.6,34.2,0.338,27.6,54.4,0.507,16.6,21.9,0.759,10.5,33.7,44.2,22.5,7.6,3.9,14.7,18.9,106.5
"7",7,"Philadelphia 76ers",71,241.8,39.3,86.6,0.454,11.3,33,0.342,28.1,53.5,0.524,16.5,21.4,0.773,10.4,34.4,44.7,23.2,6.4,4.6,13.1,19.4,106.5
"8",8,"New York Knicks",71,241.4,38.4,86.4,0.445,12.8,37.2,0.345,25.6,49.2,0.52,17.1,22.5,0.761,9.5,34.5,43.9,24.1,7,4.8,12.5,20.4,106.8
"9",9,"Utah Jazz",72,240.3,40.4,89.6,0.451,11.9,34.8,0.343,28.5,54.9,0.519,14.6,19.3,0.756,9.9,31.8,41.7,23.1,7.8,4.2,12,20.1,107.3
"10",10,"Toronto Raptors",72,242.1,39.1,84.4,0.463,12.2,34.7,0.352,26.8,49.7,0.54,17,21.4,0.791,10.4,33.8,44.2,25.2,6.7,5.2,15.7,19.3,107.3
