"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","81","19465",".469","14.9",NA,".611",".244",".162",".111",".094",".389",NA,".531",".670",".437",".448",".430",".372",NA,".530",".733",NA,".060","396",NA,".232","906",NA,".221",".422",NA,"14","1"
"3","2","Boston Celtics","81","19665",".465","15.2",NA,".576",".216",".202",".082",".076",".424",NA,".545",".739",".447",".409",".401",".356",NA,".510",".814",NA,".057","361",NA,".276","1129",NA,".230",".388",NA,"10","0"
"4","3","Brooklyn Nets","81","19515",".473","14.0",NA,".640",".244",".167",".135",".095",".360",NA,".536",".655",".444",".474",".477",".361",NA,".541",".764",NA,".052","329",NA,".251","966",NA,".236",".391",NA,"7","0"
"5","4","Chicago Bulls","81","19490",".480","13.9",NA,".667",".258",".151",".127",".132",".333",NA,".535",".676",".453",".451",".435",".368",NA,".478",".852",NA,".050","318",NA,".245","999",NA,".274",".417",NA,"18","1"
"6","5","Charlotte Hornets","81","19640",".467","13.9",NA,".582",".290",".176",".069",".047",".418",NA,".542",".690",".384",".403",".421",".363",NA,".558",".859",NA,".079","523",NA,".285","1129",NA,".286",".369",NA,"20","0"
"7","6","Cleveland Cavaliers","81","19490",".468","13.7",NA,".613",".283",".183",".091",".056",".387",NA,".541",".695",".401",".430",".395",".353",NA,".555",".820",NA,".079","487",NA,".244","933",NA,".234",".332",NA,"9","1"
"8","7","Dallas Mavericks","81","19515",".460","15.3",NA,".561",".206",".175",".108",".071",".439",NA,".549",".738",".449",".452",".396",".348",NA,".501",".780",NA,".059","354",NA,".207","863",NA,".263",".392",NA,"15","0"
"9","8","Denver Nuggets","81","19540",".482","14.4",NA,".585",".236",".204",".073",".071",".415",NA,".574",".744",".479",".436",".427",".353",NA,".583",".858",NA,".059","366",NA,".265","1112",NA,".266",".386",NA,"23","0"
"10","9","Detroit Pistons","81","19540",".430","14.0",NA,".610",".247",".208",".080",".074",".390",NA,".497",".644",".421",".355",".375",".326",NA,".496",".895",NA,".040","257",NA,".304","1172",NA,".269",".363",NA,"20","0"
"11","10","Golden State Warriors","81","19490",".467","15.5",NA,".544",".204",".202",".069",".068",".456",NA,".556",".710",".512",".402",".380",".362",NA,".597",".801",NA,".058","369",NA,".282","1176",NA,".215",".337",NA,"24","1"
"12","11","Houston Rockets","81","19515",".456","14.2",NA,".553",".301",".180",".038",".034",".447",NA,".543",".688",".382",".326",".347",".348",NA,".502",".785",NA,".089","541",NA,".300","1131",NA,".174",".350",NA,"18","0"
"13","12","Indiana Pacers","81","19640",".463","14.0",NA,".606",".265",".179",".093",".069",".394",NA,".542",".676",".458",".423",".404",".343",NA,".509",".861",NA,".044","287",NA,".304","1293",NA,".252",".377",NA,"25","0"
"14","13","Los Angeles Clippers","81","19540",".457","14.9",NA,".609",".208",".183",".118",".100",".391",NA,".511",".690",".447",".434",".347",".372",NA,".502",".806",NA,".053","321",NA,".211","819",NA,".214",".404",NA,"17","0"
"15","14","Los Angeles Lakers","81","19715",".469","14.0",NA,".613",".278",".162",".087",".086",".387",NA,".546",".709",".419",".411",".398",".347",NA,".476",".825",NA,".062","397",NA,".310","1307",NA,".230",".373",NA,"5","0"
"16","15","Memphis Grizzlies","81","19540",".462","12.9",NA,".655",".264",".235",".112",".045",".345",NA,".520",".675",".423",".412",".383",".353",NA,".503",".854",NA,".056","381",NA,".273","1156",NA,".231",".368",NA,"14","0"
"17","16","Miami Heat","81","19615",".467","14.9",NA,".579",".225",".182",".107",".066",".421",NA,".531",".695",".435",".441",".386",".379",NA,".539",".852",NA,".050","302",NA,".236","930",NA,".300",".418",NA,"22","0"
"18","17","Milwaukee Bucks","81","19515",".468","15.1",NA,".569",".234",".162",".103",".070",".431",NA,".546",".720",".421",".447",".395",".366",NA,".459",".790",NA,".049","313",NA,".249","1064",NA,".240",".393",NA,"10","0"
"19","18","Minnesota Timberwolves","81","19540",".457","14.6",NA,".545",".266",".173",".059",".047",".455",NA,".540",".677",".413",".433",".365",".358",NA,".518",".796",NA,".066","426",NA,".277","1113",NA,".222",".394",NA,"19","0"
"20","19","New Orleans Pelicans","81","19515",".457","13.6",NA,".636",".266",".189",".100",".081",".364",NA,".529",".670",".426",".458",".396",".332",NA,".532",".873",NA,".055","352",NA,".290","1107",NA,".240",".365",NA,"18","2"
"21","20","New York Knicks","81","19540",".437","14.6",NA,".572",".253",".158",".086",".075",".428",NA,".496",".654",".372",".376",".361",".357",NA,".461",".794",NA,".069","424",NA,".238","849",NA,".217",".392",NA,"7","0"
"22","21","Oklahoma City Thunder","81","19565",".430","14.3",NA,".580",".204",".261",".073",".041",".420",NA,".508",".645",".445",".431",".365",".324",NA,".466",".831",NA,".053","325",NA,".320","1182",NA,".207",".352",NA,"9","0"
"23","22","Orlando Magic","81","19540",".433","14.4",NA,".585",".223",".229",".070",".064",".415",NA,".506",".668",".424",".421",".327",".329",NA,".500",".877",NA,".061","380",NA,".270","1017",NA,".210",".384",NA,"14","0"
"24","23","Philadelphia 76ers","81","19565",".465","14.1",NA,".623",".238",".193",".121",".071",".377",NA,".525",".700",".412",".418",".432",".366",NA,".506",".834",NA,".049","305",NA,".248","957",NA,".244",".396",NA,"12","0"
"25","24","Phoenix Suns","81","19490",".486","14.2",NA,".647",".186",".223",".150",".088",".353",NA,".552",".710",".506",".497",".426",".365",NA,".553",".830",NA,".053","364",NA,".220","938",NA,".259",".389",NA,"13","0"
"26","25","Portland Trail Blazers","81","19490",".443","14.5",NA,".578",".260",".173",".074",".071",".422",NA,".514",".629",".424",".428",".402",".347",NA,".499",".787",NA,".047","290",NA,".274","1020",NA,".210",".369",NA,"11","0"
"27","26","Sacramento Kings","81","19565",".459","13.9",NA,".623",".232",".220",".099",".071",".377",NA,".530",".696",".435",".423",".427",".342",NA,".497",".807",NA,".058","357",NA,".264","1066",NA,".220",".383",NA,"13","1"
"28","27","San Antonio Spurs","81","19565",".466","13.4",NA,".655",".237",".225",".123",".069",".345",NA,".527",".672",".454",".444",".412",".352",NA,".552",".911",NA,".036","249",NA,".292","1242",NA,".228",".368",NA,"14","1"
"29","28","Toronto Raptors","81","19615",".446","14.3",NA,".626",".224",".209",".097",".095",".374",NA,".503",".653",".440",".426",".366",".350",NA,".432",".802",NA,".055","350",NA,".245","963",NA,".242",".400",NA,"16","2"
"30","29","Utah Jazz","81","19490",".471","15.1",NA,".532",".201",".236",".066",".029",".468",NA,".567",".729",".482",".458",".395",".362",NA,".452",".727",NA,".070","435",NA,".246","974",NA,".242",".383",NA,"14","1"
"31","30","Washington Wizards","81","19590",".472","13.9",NA,".642",".225",".226",".107",".085",".358",NA,".544",".727",".459",".433",".427",".342",NA,".532",".859",NA,".065","404",NA,".279","1114",NA,".246",".396",NA,"11","0"
"32","","League Average","81","19551",".461","14.3",NA,".601",".241",".195",".094",".071",".399",NA,".532",".687",".439",".432",".400",".353",NA,".512",".820",NA,".058","365",NA,".265","1054",NA,".237",".382",NA,"14.7","0.4"
